FIPS,State,Carrier,Challenge?
150010210101007,HI,Hawaiian Telecom,N
150010210101050,HI,Hawaiian Telecom,N
150010210101051,HI,Hawaiian Telecom,N
150010210101012,HI,Hawaiian Telecom,N
150010210101023,HI,Hawaiian Telecom,N
150010210101036,HI,Hawaiian Telecom,N
150010210101034,HI,Hawaiian Telecom,N
150010210101024,HI,Hawaiian Telecom,N
150010210101045,HI,Hawaiian Telecom,N
150010210101013,HI,Hawaiian Telecom,N
150010210033031,HI,Hawaiian Telecom,N
150010210033015,HI,Hawaiian Telecom,N
150010210033022,HI,Hawaiian Telecom,N
150010210033021,HI,Hawaiian Telecom,N
150010210033025,HI,Hawaiian Telecom,N
150010210033038,HI,Hawaiian Telecom,N
150010210033024,HI,Hawaiian Telecom,N
150010210033020,HI,Hawaiian Telecom,N
150010210033023,HI,Hawaiian Telecom,N
150010210033012,HI,Hawaiian Telecom,N
150010210033040,HI,Hawaiian Telecom,N
150010210033041,HI,Hawaiian Telecom,N
150010210033042,HI,Hawaiian Telecom,N
150010210033043,HI,Hawaiian Telecom,N
150010210033044,HI,Hawaiian Telecom,N
150010210033045,HI,Hawaiian Telecom,N
150010210033046,HI,Hawaiian Telecom,N
150010210102042,HI,Hawaiian Telecom,N
150010210102043,HI,Hawaiian Telecom,N
150010210102049,HI,Hawaiian Telecom,N
150010210103057,HI,Hawaiian Telecom,N
150010210103056,HI,Hawaiian Telecom,N
150010210103045,HI,Hawaiian Telecom,N
150010210103028,HI,Hawaiian Telecom,N
150010210103030,HI,Hawaiian Telecom,N
150010210103041,HI,Hawaiian Telecom,N
150010210103055,HI,Hawaiian Telecom,N
150010210103054,HI,Hawaiian Telecom,N
150010210103049,HI,Hawaiian Telecom,N
150010210103048,HI,Hawaiian Telecom,N
150010210103047,HI,Hawaiian Telecom,N
150010210103031,HI,Hawaiian Telecom,N
150010212022544,HI,Hawaiian Telecom,N
150010213001069,HI,Hawaiian Telecom,N
150010213001107,HI,Hawaiian Telecom,N
150010213001070,HI,Hawaiian Telecom,N
150010213001109,HI,Hawaiian Telecom,N
150010213001104,HI,Hawaiian Telecom,N
150010213001110,HI,Hawaiian Telecom,N
150010213001106,HI,Hawaiian Telecom,N
150010210101061,HI,Hawaiian Telecom,N
150010210101058,HI,Hawaiian Telecom,N
150010210101057,HI,Hawaiian Telecom,N
150010210101064,HI,Hawaiian Telecom,N
150010210101056,HI,Hawaiian Telecom,N
150010210101100,HI,Hawaiian Telecom,N
150010210101065,HI,Hawaiian Telecom,N
150010210101063,HI,Hawaiian Telecom,N
150010210101106,HI,Hawaiian Telecom,N
150010210101099,HI,Hawaiian Telecom,N
150010210101097,HI,Hawaiian Telecom,N
150010210101098,HI,Hawaiian Telecom,N
150010210101105,HI,Hawaiian Telecom,N
150010210101001,HI,Hawaiian Telecom,N
150010210101005,HI,Hawaiian Telecom,N
150010210101004,HI,Hawaiian Telecom,N
150010210101104,HI,Hawaiian Telecom,N
150010210101002,HI,Hawaiian Telecom,N
150010210101107,HI,Hawaiian Telecom,N
150010210101108,HI,Hawaiian Telecom,N
150010210101000,HI,Hawaiian Telecom,N
150010210101055,HI,Hawaiian Telecom,N
150010210101054,HI,Hawaiian Telecom,N
150010210101053,HI,Hawaiian Telecom,N
150010210101052,HI,Hawaiian Telecom,N
150010210101003,HI,Hawaiian Telecom,N
150010212022592,HI,Hawaiian Telecom,N
150010212022585,HI,Hawaiian Telecom,N
150010212022584,HI,Hawaiian Telecom,N
150010212022594,HI,Hawaiian Telecom,N
150010212022595,HI,Hawaiian Telecom,N
150010212022596,HI,Hawaiian Telecom,N
150010212022604,HI,Hawaiian Telecom,N
150010212022603,HI,Hawaiian Telecom,N
150010212022591,HI,Hawaiian Telecom,N
150010212022589,HI,Hawaiian Telecom,N
150010212022590,HI,Hawaiian Telecom,N
150010212022565,HI,Hawaiian Telecom,N
150010212022566,HI,Hawaiian Telecom,N
150010212022562,HI,Hawaiian Telecom,N
150010212022564,HI,Hawaiian Telecom,N
150010212022556,HI,Hawaiian Telecom,N
150010212022555,HI,Hawaiian Telecom,N
150010212022588,HI,Hawaiian Telecom,N
150010212022575,HI,Hawaiian Telecom,N
150010212022551,HI,Hawaiian Telecom,N
150010212022567,HI,Hawaiian Telecom,N
150010212022553,HI,Hawaiian Telecom,N
150010212022552,HI,Hawaiian Telecom,N
150010212022576,HI,Hawaiian Telecom,N
150010212022577,HI,Hawaiian Telecom,N
150010212022549,HI,Hawaiian Telecom,N
150010212022550,HI,Hawaiian Telecom,N
150010212022543,HI,Hawaiian Telecom,N
120130101001050,FL,FairPoint,N
120130101001051,FL,FairPoint,N
120130101001052,FL,FairPoint,N
120130101001078,FL,FairPoint,N
120130101001080,FL,FairPoint,N
120130101001082,FL,FairPoint,N
120130101001083,FL,FairPoint,N
120130102003008,FL,FairPoint,N
120130102003009,FL,FairPoint,N
120130102003269,FL,FairPoint,N
120130102003270,FL,FairPoint,N
120130103003010,FL,FairPoint,N
120632109003120,FL,FairPoint,N
120632109003140,FL,FairPoint,N
120632111004281,FL,FairPoint,N
120632111004282,FL,FairPoint,N
120632111004290,FL,FairPoint,N
120779501002125,FL,FairPoint,N
120779501002134,FL,FairPoint,N
120779501002135,FL,FairPoint,N
120779501002138,FL,FairPoint,N
120779501002172,FL,FairPoint,N
120779501002174,FL,FairPoint,N
120779501002180,FL,FairPoint,N
120779501002226,FL,FairPoint,N
120779501002228,FL,FairPoint,N
120779501002347,FL,FairPoint,N
120779501002439,FL,FairPoint,N
120779502000268,FL,FairPoint,N
120779502001050,FL,FairPoint,N
120779502001073,FL,FairPoint,N
120779502002002,FL,FairPoint,N
120779502004250,FL,FairPoint,N
120779502004264,FL,FairPoint,N
121239504004230,FL,FairPoint,N
121239504004233,FL,FairPoint,N
121239504004238,FL,FairPoint,N
121239504004250,FL,FairPoint,N
121239504004252,FL,FairPoint,N
121239504004254,FL,FairPoint,N
121239504004256,FL,FairPoint,N
121239504004258,FL,FairPoint,N
121319501012002,FL,FairPoint,N
121319501012030,FL,FairPoint,N
200179606001000,KS,FairPoint,N
200179606001005,KS,FairPoint,N
200179606001028,KS,FairPoint,N
201110006001287,KS,FairPoint,N
201110006001318,KS,FairPoint,N
201110006001320,KS,FairPoint,N
201110006001327,KS,FairPoint,N
201110006002113,KS,FairPoint,N
201110006002174,KS,FairPoint,N
201110006002175,KS,FairPoint,N
201110006002177,KS,FairPoint,N
201110006002189,KS,FairPoint,N
201110007001002,KS,FairPoint,N
201110007001004,KS,FairPoint,N
201110007001014,KS,FairPoint,N
201110007001016,KS,FairPoint,N
201110007001088,KS,FairPoint,N
201110007001093,KS,FairPoint,N
201110007001164,KS,FairPoint,N
201110007001219,KS,FairPoint,N
201110007001220,KS,FairPoint,N
201110007001221,KS,FairPoint,N
201110007001222,KS,FairPoint,N
201110007001239,KS,FairPoint,N
201110007001242,KS,FairPoint,N
201110007001258,KS,FairPoint,N
230039501001105,ME,FairPoint,N
230039501001113,ME,FairPoint,N
230039501002083,ME,FairPoint,N
230039501002133,ME,FairPoint,N
230039501002134,ME,FairPoint,N
230039501002135,ME,FairPoint,N
230039513001002,ME,FairPoint,N
230039513001003,ME,FairPoint,N
